Geography,Geographic Area Name,County,State,Population,Median Income,Median Income Rank,Mean Income,Mean Income Rank,Weighted Education Score,Weighted Education Rank
0500000US01001,"Autauga County, Alabama",Autauga County,Alabama,44995,68315,949,90372,822,2.872563618,744
0500000US01003,"Baldwin County, Alabama",Baldwin County,Alabama,184024,71039,761,96027,584,2.946626527,529
0500000US01005,"Barbour County, Alabama",Barbour County,Alabama,19726,39712,3023,60128,2888,2.329362263,3050
0500000US01007,"Bibb County, Alabama",Bibb County,Alabama,17536,50669,2508,65131,2676,2.312728102,3077
0500000US01009,"Blount County, Alabama",Blount County,Alabama,45513,57440,1930,75954,1877,2.459714807,2659
0500000US01011,"Bullock County, Alabama",Bullock County,Alabama,8153,36136,3086,52269,3089,2.166319146,3200
0500000US01013,"Butler County, Alabama",Butler County,Alabama,14747,44429,2867,65988,2629,2.435207161,2756
0500000US01015,"Calhoun County, Alabama",Calhoun County,Alabama,91563,54339,2212,69213,2425,2.60368271,2001
0500000US01017,"Chambers County, Alabama",Chambers County,Alabama,27421,48805,2616,64377,2716,2.434192772,2762
0500000US01019,"Cherokee County, Alabama",Cherokee County,Alabama,20343,46621,2757,65664,2650,2.473234036,2602
0500000US01021,"Chilton County, Alabama",Chilton County,Alabama,34435,62471,1423,73650,2069,2.40130681,2875
0500000US01023,"Choctaw County, Alabama",Choctaw County,Alabama,10143,43299,2910,61685,2836,2.41723356,2826
0500000US01025,"Clarke County, Alabama",Clarke County,Alabama,17983,47549,2690,71413,2262,2.393371518,2899
0500000US01027,"Clay County, Alabama",Clay County,Alabama,11299,48074,2655,69549,2404,2.423577308,2797
0500000US01029,"Cleburne County, Alabama",Cleburne County,Alabama,11698,51553,2436,71645,2243,2.460249615,2655
0500000US01031,"Coffee County, Alabama",Coffee County,Alabama,40889,62199,1454,78477,1670,2.701753528,1485
0500000US01033,"Colbert County, Alabama",Colbert County,Alabama,45293,56149,2049,71460,2258,2.588258671,2071
0500000US01035,"Conecuh County, Alabama",Conecuh County,Alabama,9208,39888,3020,56230,3027,2.438531712,2741
0500000US01037,"Coosa County, Alabama",Coosa County,Alabama,8671,52279,2382,69810,2393,2.374927921,2958
0500000US01039,"Covington County, Alabama",Covington County,Alabama,29315,48772,2618,69704,2396,2.54368071,2275
0500000US01041,"Crenshaw County, Alabama",Crenshaw County,Alabama,10185,48557,2629,78621,1655,2.417378498,2823
0500000US01043,"Cullman County, Alabama",Cullman County,Alabama,68612,58119,1857,75873,1885,2.593496764,2048
0500000US01045,"Dale County, Alabama",Dale County,Alabama,38052,52813,2334,67432,2548,2.633133607,1839
0500000US01047,"Dallas County, Alabama",Dallas County,Alabama,29288,37180,3075,53213,3079,2.490508058,2525
0500000US01049,"DeKalb County, Alabama",DeKalb County,Alabama,54534,47920,2667,64545,2703,2.427531448,2783
0500000US01051,"Elmore County, Alabama",Elmore County,Alabama,68631,73258,648,90524,814,2.708528216,1451
0500000US01053,"Escambia County, Alabama",Escambia County,Alabama,28420,41153,2985,55542,3044,2.355981703,3005
0500000US01055,"Etowah County, Alabama",Etowah County,Alabama,81184,52177,2392,69693,2397,2.610797694,1956
0500000US01057,"Fayette County, Alabama",Fayette County,Alabama,12861,45650,2810,66681,2590,2.436591245,2752
0500000US01059,"Franklin County, Alabama",Franklin County,Alabama,24091,47359,2704,63747,2741,2.392511726,2902
0500000US01061,"Geneva County, Alabama",Geneva County,Alabama,20813,47608,2685,63491,2755,2.459808773,2658
0500000US01063,"Greene County, Alabama",Greene County,Alabama,6010,32796,3125,48095,3131,2.473211314,2603
0500000US01065,"Hale County, Alabama",Hale County,Alabama,11288,35851,3091,59052,2939,2.412562013,2841
0500000US01067,"Henry County, Alabama",Henry County,Alabama,13765,58395,1820,73705,2061,2.559099165,2202
0500000US01069,"Houston County, Alabama",Houston County,Alabama,82570,55064,2157,78415,1674,2.698897905,1501
0500000US01071,"Jackson County, Alabama",Jackson County,Alabama,41766,46748,2747,65829,2636,2.4621223,2647
0500000US01073,"Jefferson County, Alabama",Jefferson County,Alabama,519919,63595,1323,93745,667,3.003654415,399
0500000US01075,"Lamar County, Alabama",Lamar County,Alabama,10859,49565,2571,62422,2796,2.378672069,2949
0500000US01077,"Lauderdale County, Alabama",Lauderdale County,Alabama,76073,56081,2054,76624,1815,2.766776649,1169
0500000US01079,"Lawrence County, Alabama",Lawrence County,Alabama,25944,54786,2180,72948,2125,2.437480728,2749
0500000US01081,"Lee County, Alabama",Lee County,Alabama,138601,59288,1736,84719,1161,3.090316809,265
0500000US01083,"Limestone County, Alabama",Limestone County,Alabama,81195,80146,399,99315,482,2.829595418,905
0500000US01085,"Lowndes County, Alabama",Lowndes County,Alabama,7916,33125,3121,55548,3042,2.448332491,2697
0500000US01087,"Macon County, Alabama",Macon County,Alabama,16019,41206,2982,57338,2998,2.655596479,1711
0500000US01089,"Madison County, Alabama",Madison County,Alabama,306047,78058,468,107154,314,3.210712734,131
